iter	Passed	Remaining
0	77	70060
11	220	9891422	320	9597233	424	9511144	479	8578755	539	804006	521	66510
77	649	7243188	704	69784
9	810	72171
10	858	69360
11	949	70269
12	1006	68698
13	1064	67314	14	1131	66748
15	1165	6416	116	1259	65417	17	1339	65618	18	1444	66975
19	1448	63220	20	1528	63921	21	1621	64708
22	1677	63950
23	1755	64058
24	1845	64591
25	1907	64115
26	1990	64327	27	2044	63628	28	2101	63129	29	2193	63630	30	2299	64431	31	2312	62732	32	2402	63133	33	2477	63134	34	2536	62635	35	2622	62936	36	2679	62437	37	2773	62938	38	2830	62439	39	2897	62340	40	2970	62241	41	3030	61842	42	3084	61443	43	3146	61215
44	3271	62154
45	3350	62200
46	3363	61047	47	3447	61199
48	3535	61402
49	3616	61474
50	3697	61556
51	3773	61543
52	3852	61559
53	3926	61511
54	4018	61746
55	4101	61811
56	4140	61241
57	4214	61189
58	4324	659	4259	4441	62184
60	4566	62808
61	4652	62885
62	4788	63612
63	4876	63697
64	4938	63438
65	5034	63622
66	5098	63387
67	5156	63092
68	5265	63413
69	5373	63714
70	5466	63826
71	5542	63739
72	5645	63953
73	5746	64146
74	5830	64134
75	5913	64120
76	6005	64185
77	6097	64260
78	6222	64665
79	6296	64536
80	6395	64668
81	6478	64624
82	6560	64573
83	6614	64257
84	6679	64045
85	6761	63998
86	6815	63693
87	6894	63616
88	6953	63360
89	7014	63134
90	7073	62884
91	7123	62566
92	7202	62495
93	7228	61979
94	7313	61968
95	7407	62036
96	7587	62811
97	7652	62627
98	7751	62718
99	7874	62994
100	7984	63166
101	8080	63220
102	8451	65399
103	8632	66075
104	8773	66429
105	9027	67619
106	9079	67290
107	9117	66863
108	9236	67025
109	9486	68131
110	9613	68335
111	9710	68323
112	9760	67981
113	9807	67623
114	9856	67282
115	9908	66969
116	9971	66729
117	10028	66462
118	10085	66191
119	10144	65939
120	10199	65661
121	10264	65459
122	10336	65295
123	10367	64878
124	10860	67334
125	10981	67458
126	11048	67246
127	11115	67041
128	11173	66783
129	11292	66883
130	11390	66865
131	11481	66804
132	11555	66640
133	11607	66351
134	11722	66425
135	11828	66446
136	11891	66227
137	11978	66142
138	12055	65999
139	12194	66196
140	12341	66434
141	12419	66294
142	12521	66285
143	12610	66204
144	12692	66085
145	12811	66165
146	12833	65738
147	12990	66004
148	13150	66282
149	13237	66187
150	13390	66422
151	13473	66303
152	13568	66243
153	13593	65851
154	13662	65666
155	13756	65608
156	13848	65536
157	13937	65455
158	14022	65351
159	14104	65235
160	14185	65112
161	14266	64990
162	14331	64799
163	14404	64642
164	14475	64480
165	14573	64440
166	14640	64258
167	14742	64235
168	14896	64433
169	14928	64105
170	15005	63970
171	15145	64106
172	15324	64396
173	15593	65061
174	15645	64816
175	15734	64725
176	16087	65714
177	16286	66062
178	16531	66588
179	16725	66900
180	16888	67087
181	16985	67006
182	17194	67368
183	17294	67299
184	17371	67137
185	17413	66843
186	17450	66535
187	17515	66334
188	17619	66284
189	17757	66357
1824
191	16766	61826
192	16880	61837
193	17108	62261
194	17495	63252
195	17633	63337
196	17728	63263
197	17774	63020
198	17834	62822
199	17876	62566
200	17924	62333
01	17206	59456
202	17289	59364
203	17447	59526
